subject,run,scene,TR (scene),TR (run),sec (scene)
1001,1,2,36,62,43.72490365
1001,1,4,20,148,24.78546572
1001,1,5,67,241,80.92536071
1001,2,1,24,24,29.45971882
1001,2,3,18,110,22.74636531
1001,2,4,36,151,43.72635558
1001,2,5,11,164,13.39827283
1001,3,1,37,37,44.68339623
1001,3,3,5,86,6.730229812
1001,3,4,6,128,7.233444291
1001,3,4,32,154,38.59592367
1001,4,2,11,51,13.49366348
1001,4,3,18,90,21.65983993
1001,4,4,43,147,52.77786088
1001,4,5,12,185,15.28036803
1001,5,1,25,25,30.46125828
1001,5,2,7,74,9.558340291
1001,5,4,11,168,13.81994631
1001,5,5,15,221,19.03506082
1001,6,1,8,8,10.60663266
1001,6,2,4,60,4.978363001
1001,6,3,21,85,25.61530175
1001,6,4,48,161,58.10922174
1001,6,5,24,193,28.88232888
1001,7,1,5,5,6.145257217
1001,7,1,15,15,18.16071949
1001,7,2,22,74,27.50381504
1001,7,2,43,95,52.22972447
1001,7,3,28,140,33.71258188
1001,8,1,29,29,35.08774885
1001,8,2,34,72,41.42759758
1001,8,3,21,108,26.11779455
1001,8,5,15,174,18.07179771
1001,8,5,70,229,85.05578987
1001,9,1,16,16,19.28117573
1001,9,2,15,62,19.02791576
1001,9,3,16,93,20.32119067
1001,9,4,17,167,21.36757726
1001,10,1,8,8,10.5606793
1001,10,3,2,73,2.891017583
1001,10,4,12,112,14.44512012
1001,10,5,36,149,44.14325803
1005,1,1,22,22,26.75043545
1005,2,1,20,20,24.70411399
1005,2,2,34,80,41.71650526
1005,2,5,4,156,5.643767985
1005,3,1,8,8,10.5270753
1005,3,2,13,78,15.98803498
1005,3,3,4,85,5.769150914
1005,3,3,39,120,47.01857181
1005,3,4,9,131,11.11085176
1005,3,4,58,180,69.62719844
1005,3,5,40,223,48.97849257
1005,4,2,16,56,20.03327612
1005,4,2,22,62,27.45959616
1005,4,3,20,92,24.40730462
1005,5,1,38,38,46.30554588
1005,5,1,49,49,58.85784299
1005,5,4,7,164,8.518358513
1005,5,5,7,213,8.692854374
1005,5,5,16,222,19.82652382
1005,6,1,11,11,14.19437764
1005,6,2,4,60,5.059298927
1005,6,4,39,152,47.43267949
1005,6,5,33,202,40.30552666
1005,7,1,5,5,6.270960089
1005,7,1,30,30,36.58879554
1005,7,2,15,67,18.06941892
1005,7,2,23,75,28.3359389
1005,7,2,45,97,54.31812994
1005,7,3,32,144,39.29924307
1005,8,3,35,122,42.52093598
1005,8,4,7,140,8.69546352
1005,8,5,30,189,37.05799046
1005,8,5,50,209,60.75264426
1005,9,1,4,4,5.186698962
1005,9,3,10,87,12.36090116
1005,10,1,7,7,8.438360227
1005,10,3,0,71,0.46986399
1005,10,4,11,111,13.44234657
1005,10,5,32,146,38.76047602
1008,1,2,13,38,15.77962154
1008,1,2,22,47,26.99984084
1008,1,5,38,211,46.39060325
1008,1,5,64,237,76.92153198
1008,2,1,23,23,27.96028744
1008,2,3,4,96,5.188057397
1008,3,1,28,28,33.79717123
1008,3,2,6,71,7.557314282
1008,3,3,4,85,5.728919748
1008,3,4,7,129,8.441913781
1008,3,4,57,179,68.50084629
1008,4,2,24,64,29.25114642
1008,4,3,13,85,15.78005979
1008,4,4,23,127,28.41684497
1008,5,1,47,47,57.35876515
1008,5,2,22,89,26.87598404
1008,5,4,15,172,18.699779
1008,6,1,44,44,52.85828014
1008,6,3,45,109,54.4822973
1008,7,1,9,9,11.48455736
1008,7,1,20,20,24.45627961
1008,7,2,12,64,14.89900275
1008,7,2,43,95,52.64971301
1008,7,3,38,150,46.69195399
1008,8,3,40,126,48.4802812
1008,8,5,18,176,21.82835006
1008,9,1,18,18,22.16223097
1008,9,3,17,94,21.37027267
1008,10,5,17,130,20.91055954
1008,10,5,36,149,44.17999639
1011,1,1,18,18,22.16444325
1011,1,2,26,52,31.37844957
1011,1,2,31,57,37.76267233
1011,1,2,38,64,45.7685076
1011,1,3,8,76,9.726645016
1011,1,3,25,93,30.2904523
1011,1,3,28,96,34.59026583
1011,1,3,48,116,57.7372922
1011,1,4,8,137,10.72970085
1011,1,4,29,158,35.54981897
1011,1,5,10,185,12.15608655
1011,1,5,59,234,71.83796787
1011,2,1,5,5,6.368105962
1011,2,1,8,8,10.57257475
1011,2,1,18,18,21.960962
1011,2,2,4,51,5.192042051
1011,2,2,26,73,31.38763337
1011,2,3,2,95,2.815565395
1011,2,3,7,100,8.406508778
1011,2,3,12,105,14.91282973
1011,2,3,14,107,17.6194981
1011,2,3,19,113,23.99501355
1011,2,4,13,129,15.61583825
1011,2,4,23,139,28.2603181
1011,2,5,2,156,3.191354868
1011,3,1,5,5,6.565762344
1011,3,1,11,11,13.32811811
1011,3,1,28,28,34.71248987
1011,3,2,4,70,4.904843204
1011,3,2,8,74,10.56375033
1011,3,3,7,89,8.452310446
1011,3,3,37,119,44.7343308
1011,3,4,8,131,9.901907343
1011,3,4,33,156,39.60596663
1011,3,4,59,182,71.29457912
1011,3,5,5,189,7.154377622
1011,3,5,29,213,35.0986021
1011,4,1,4,4,5.072724374
1011,4,1,8,8,10.45024931
1011,4,1,16,16,19.66716292
1011,4,1,26,26,32.09349158
1011,4,1,34,34,41.47762241
1011,4,2,2,43,3.236219667
1011,4,2,11,52,13.23865243
1011,4,2,21,62,25.41195159
1011,4,3,28,102,34.47110607
1011,4,4,3,109,4.480240299
1011,4,4,10,116,12.07981573
1011,4,4,21,127,25.45920399
1011,4,4,43,149,52.53070042
1011,4,5,9,184,11.78508163
1011,4,5,40,215,48.19479913
1011,5,1,3,3,4.397352446
1011,5,1,16,16,19.4894689
1011,5,1,58,58,70.71462378
1011,5,2,12,79,15.24868125
1011,5,2,24,91,29.13503257
1011,5,2,53,120,64.12549364
1011,5,3,2,126,2.477650332
1011,5,4,10,168,12.03113536
1011,5,4,44,202,53.5713768
1011,5,5,16,224,19.70691289
1011,5,5,27,235,33.05484554
1011,6,1,5,5,6.779092775
1011,6,1,24,24,29.72603651
1011,6,2,3,60,4.571094316
1011,6,3,3,68,4.69321923
1011,6,3,22,87,26.41568344
1011,6,3,43,108,52.12089951
1011,6,4,24,138,29.24940695
1011,6,5,25,195,30.0907798
1011,6,5,31,201,37.73528286
1011,7,1,3,3,4.737405872
1011,7,1,4,4,5.942958735
1011,7,1,17,17,20.5004602
1011,7,1,19,19,23.79631919
1011,7,1,44,44,53.03407822
1011,7,1,50,50,60.33120977
1011,7,2,11,64,14.36949798
1011,7,2,26,78,31.80832652
1011,7,2,43,95,52.07421191
1011,7,3,8,120,9.726212639
1011,7,3,19,131,23.37226012
1011,7,3,29,141,35.50551604
1011,8,1,7,7,8.991008821
1011,8,1,16,16,19.20649564
1011,8,1,23,23,28.38453096
1011,8,1,30,30,37.05814292
1011,8,2,19,57,23.4612463
1011,8,2,42,80,50.40089396
1011,8,3,39,126,47.15277693
1011,8,4,9,142,11.6578818
1011,8,4,14,147,17.21222633
1011,8,5,12,171,14.78857616
1011,8,5,37,196,45.27308731
1011,8,5,62,221,75.13972258
1011,8,5,71,230,86.35879508
1011,9,1,2,2,3.110756879
1011,9,1,10,10,12.0318084
1011,9,1,14,14,17.40803036
1011,9,1,20,20,24.25556376
1011,9,1,31,31,37.42488523
1011,9,1,41,41,49.53379611
1011,9,2,1,48,1.762832645
1011,9,2,3,50,4.647544876
1011,9,2,18,65,22.5374791
1011,9,3,18,95,21.88032187
1011,9,4,17,167,21.21458924
1011,9,5,13,189,16.28519309
1011,10,1,4,4,5.89130735
1011,10,1,18,18,22.17199826
1011,10,1,19,19,23.83340181
1011,10,1,36,36,43.27135852
1011,10,2,18,62,22.79324866
1011,10,2,22,65,26.91878371
1011,10,2,25,68,30.21594183
1011,10,3,2,74,2.685314548
1011,10,3,5,77,6.155361701
1011,10,3,6,78,7.529321405
1011,10,3,17,89,20.95903391
1011,10,5,23,137,27.63573422
1011,10,5,33,147,40.51650327
1014,1,5,11,185,13.61678292
1014,1,5,66,240,80.09822581
1014,2,2,23,69,27.80401323
1014,2,2,35,81,43.1507617
1014,2,3,19,111,23.95839437
1014,2,5,11,163,13.37159915
1014,3,3,0,81,0.279763298
1014,3,3,7,88,8.815385014
1014,3,4,15,137,18.00080809
1014,3,4,28,150,34.18298909
1014,3,4,56,178,67.20500552
1014,4,2,11,51,13.36829724
1014,4,2,23,63,28.67387722
1014,4,4,44,149,52.98810121
1014,4,5,9,183,10.99394757
1014,4,5,27,201,33.42305509
1014,4,5,28,202,33.92658613
1014,5,1,37,37,45.0632691
1014,5,1,66,66,79.22216952
1014,5,2,11,78,13.90862531
1014,5,2,42,109,51.36359257
1014,5,4,42,199,50.48958924
1014,5,5,6,212,8.070733305
1014,6,1,12,12,15.37109921
1014,6,1,50,50,60.83301266
1014,6,3,24,88,29.38671985
1014,6,4,30,143,36.46992367
1014,6,5,16,185,19.66397489
1014,7,1,19,19,23.91882017
1014,7,1,31,31,38.09528067
1014,7,2,13,65,16.08338719
1014,7,2,23,75,28.67588285
1014,8,1,24,24,29.29575137
1014,8,2,32,69,39.4377204
1014,8,3,43,129,52.65585179
1014,8,5,6,164,8.02862316
1014,8,5,68,226,82.31168579
1014,9,1,13,13,16.24915522
1014,9,2,22,69,27.00294502
1014,9,3,11,88,13.37383453
1014,9,5,10,186,12.66269322
1014,10,1,40,40,48.40859267
1014,10,4,9,109,11.82278539
1014,10,5,20,134,25.12495983
1014,10,5,33,147,39.68378671
1014,10,5,44,158,53.73728133
