subject,parcel,retrieval,hmm (-2TR),hmm (-1 TR),reinstatement (z) (-7 to -3 TR)
1001,19,1,1,0,0.070856087
1001,19,0,0,0,0.00384846
1001,19,1,1,0,-0.009829939
1001,19,1,0,0,-0.004463323
1001,19,1,0,0,0.025975744
1001,19,1,1,0,-0.187890269
1001,19,1,0,0,0.1529339
1001,19,1,0,0,0.06246525
1001,19,0,0,0,-0.048234823
1001,19,1,0,0,-0.121030011
1001,19,0,0,0,0.036292672
1001,19,0,0,0,-0.221948414
1001,19,1,0,0,0.023920394
1001,19,1,0,0,0.072023604
1001,19,0,0,0,-0.066923082
1001,19,1,0,0,-0.016189157
1001,19,0,0,0,-0.029104183
1001,19,1,0,0,0.015509829
1001,19,1,0,0,-0.027438277
1001,19,1,1,0,-0.020050395
1001,19,0,0,0,-0.013778324
1001,19,0,0,1,-0.037526643
1001,19,0,1,0,0.172322002
1001,19,0,0,0,-0.030013365
1001,19,0,0,0,-0.009303665
1001,19,0,0,1,-0.136712094
1001,19,0,0,0,-0.052759713
1001,19,1,1,0,-0.098547251
1001,19,1,0,1,0.107841877
1001,19,1,1,0,-0.016613858
1001,19,1,0,1,0.043865116
1001,19,1,1,0,0.171125284
1001,19,0,0,1,-0.007758343
1001,19,1,0,0,0.051101415
1001,19,1,0,0,-0.133051836
1001,19,1,0,1,0.035984615
1001,19,1,0,0,-0.061116259
1001,19,1,0,0,0.171196098
1001,19,1,0,0,0.044789135
1005,19,1,1,0,-0.049382226
1005,19,1,0,0,0.104971809
1005,19,1,1,0,-0.095226726
1005,19,1,0,0,-0.129656944
1005,19,1,0,1,-0.019579135
1005,19,1,0,1,0.032338282
1005,19,1,0,1,-0.06713088
1005,19,1,0,0,-0.058972742
1005,19,1,0,0,0.116976559
1005,19,1,0,1,-0.031469209
1005,19,1,1,0,0.100163097
1005,19,1,0,0,-0.355277262
1005,19,1,0,0,0.039620396
1005,19,1,0,1,-0.002958744
1005,19,1,0,0,-0.169660425
1005,19,1,0,0,0.056944135
1005,19,1,0,0,0.060646019
1005,19,1,0,1,0.11234171
1005,19,1,0,0,-0.095110154
1005,19,1,0,0,-0.090237451
1005,19,1,1,0,0.068049
1005,19,0,1,0,0.151976267
1005,19,0,0,0,-0.047428462
1005,19,0,0,0,0.096175405
1005,19,0,0,0,-0.11885331
1005,19,0,0,0,-0.151136284
1005,19,0,1,0,0.091058847
1005,19,1,1,0,-0.054837448
1005,19,0,0,0,-0.065777777
1005,19,1,0,0,-0.040341708
1005,19,0,0,0,0.032412919
1005,19,1,0,1,0.043444269
1005,19,1,0,0,0.142494148
1005,19,0,1,0,0.178423721
1005,19,1,0,0,0.130607442
1005,19,1,0,0,0.013596504
1008,19,1,0,0,-0.120651485
1008,19,0,0,1,-0.114936596
1008,19,0,0,0,0.054271791
1008,19,1,0,1,-0.125168125
1008,19,1,0,0,0.101879048
1008,19,1,0,0,0.10188964
1008,19,1,0,0,0.074560421
1008,19,1,0,0,-0.109844323
1008,19,1,0,1,0.087568237
1008,19,0,0,1,-0.066891243
1008,19,0,0,0,0.061869313
1008,19,0,0,0,-0.065978332
1008,19,1,0,1,-0.230973045
1008,19,0,0,1,-0.19194754
1008,19,0,0,0,-0.036430953
1008,19,0,0,0,0.102309966
1008,19,0,0,1,-0.04890579
1008,19,0,0,0,-0.079306142
1008,19,0,1,0,-0.392344258
1008,19,0,0,0,-0.081155586
1008,19,1,1,0,-0.093258365
1008,19,1,0,0,0.026425804
1008,19,1,0,0,0.022172727
1008,19,0,1,0,-0.038454557
1008,19,1,0,0,-0.173884061
1008,19,1,0,1,0.091889188
1011,19,1,0,1,0.208885813
1011,19,1,0,0,-0.006622907
1011,19,1,0,1,-0.243224751
1011,19,1,0,0,0.215095183
1011,19,1,0,1,0.088909
1011,19,1,0,0,0.046891668
1011,19,1,1,0,-0.041151741
1011,19,1,0,1,-0.101525503
1011,19,1,0,0,0.114954828
1011,19,1,0,0,-0.050305709
1011,19,1,0,0,0.02323792
1011,19,1,1,0,0.181446516
1011,19,1,0,0,-0.033096409
1011,19,1,0,1,-0.033091205
1011,19,0,0,0,0.092029297
1011,19,0,0,0,-0.023465442
1011,19,1,0,1,-0.089158725
1011,19,1,0,0,0.045153068
1011,19,1,0,0,-0.044455741
1011,19,1,0,0,-0.02139502
1011,19,1,0,0,-0.067975383
1011,19,1,0,0,0.127940878
1011,19,1,1,0,-0.155638583
1011,19,1,0,1,0.0049555
1011,19,1,0,1,0.032360152
1011,19,1,0,0,0.022794279
1011,19,1,0,0,-0.114160597
1011,19,1,0,0,0.047328161
1011,19,1,0,0,-0.129538532
1011,19,1,1,0,0.005571097
1011,19,1,0,0,0.22774297
1011,19,0,0,1,-0.108861823
1011,19,0,0,0,-0.056734962
1011,19,0,0,0,0.039402355
1011,19,0,0,0,0.039826761
1011,19,0,0,0,0.072053454
1011,19,1,0,0,0.08554068
1011,19,1,0,0,-0.123695284
1011,19,0,0,0,-0.218204325
1011,19,0,1,0,0.145046794
1011,19,0,0,1,0.032712951
1011,19,1,0,0,-0.161634647
1011,19,1,0,0,0.143321981
1011,19,1,0,0,0.037384713
1011,19,1,0,0,0.105214643
1011,19,1,0,0,0.175356136
1011,19,1,0,1,-0.05023904
1011,19,1,0,0,-0.208349451
1011,19,1,0,0,0.20907525
1011,19,1,0,0,0.012600663
1011,19,1,0,0,-0.001293959
1011,19,0,0,0,0.054940894
1011,19,1,0,0,0.284887732
1011,19,1,0,0,-0.089312126
1011,19,1,0,0,-0.134131177
1011,19,0,0,0,-0.077842425
1011,19,0,0,1,0.036034946
1011,19,0,0,1,-0.003289509
1011,19,0,0,0,-0.082378095
1011,19,0,0,0,-0.013364808
1011,19,0,0,0,0.122314831
1011,19,0,0,1,-0.059105281
1011,19,0,0,0,0.196035538
1011,19,0,1,0,-0.053928418
1011,19,0,1,0,0.011709374
1011,19,0,0,0,0.356915073
1011,19,0,0,1,-0.276022888
1011,19,0,0,0,-0.000818678
1011,19,0,0,0,-0.05883335
1011,19,0,0,0,-0.180596646
1011,19,0,0,0,-0.184338504
1011,19,0,0,0,0.153717286
1011,19,0,0,0,0.070847518
1011,19,0,1,0,-0.218705625
1011,19,1,0,0,0.190984451
1011,19,1,0,0,-0.195968927
1011,19,0,0,0,0.068802942
1011,19,0,0,0,0.005649865
1011,19,0,0,0,-0.077204005
1011,19,0,0,0,-0.011821815
1011,19,0,0,0,-0.284758036
1011,19,0,1,0,-0.061805077
1011,19,0,0,0,-0.155908165
1011,19,0,0,0,0.121530169
1011,19,0,0,0,0.001685284
1011,19,0,0,1,-0.041095631
1011,19,0,0,0,-0.043753914
1011,19,0,0,0,-0.033489088
1011,19,0,0,0,-0.15697199
1011,19,0,0,0,0.146719767
1011,19,0,0,0,-0.277666329
1011,19,1,0,0,-0.068172511
1011,19,0,0,0,0.13907294
1011,19,1,0,0,-0.0038513
1011,19,1,0,0,-0.009776677
1011,19,1,0,0,-0.11232672
1011,19,1,0,1,-0.157149974
1011,19,1,0,0,-0.034416514
1011,19,1,0,0,0.102827291
1011,19,1,1,0,0.109906592
1011,19,1,0,1,0.030270056
1011,19,0,0,0,-0.168444371
1011,19,0,0,0,-0.035650694
1011,19,0,0,0,0.023529672
1011,19,0,1,0,0.208419431
1011,19,1,0,0,0.050949357
1011,19,1,0,0,-0.114306583
1017,19,1,1,0,-0.050912865
1017,19,1,0,0,-0.048862762
1017,19,1,0,0,-0.051515547
1017,19,0,0,1,-0.123601825
1017,19,1,0,0,0.072246977
1017,19,0,0,0,-0.004243016
1017,19,1,0,1,-0.158572139
1017,19,1,0,0,-0.114814125
1017,19,0,0,1,0.149633097
1017,19,0,1,0,-0.065595023
1017,19,1,0,0,0.092693482
1017,19,0,0,0,0.187796748
1017,19,1,1,0,0.042060032
1017,19,1,0,0,-0.0683289
1020,19,1,0,1,0.132776663
1020,19,1,1,0,-0.139102237
1020,19,0,1,0,0.03650043
1020,19,0,0,1,-0.08563157
1020,19,1,0,0,-0.09395706
1020,19,1,1,0,-0.122208472
1020,19,1,0,0,0.096855549
1020,19,0,0,0,-0.015630866
1020,19,1,0,0,0.020562713
1020,19,1,0,0,0.244867991
1020,19,1,0,1,0.0032837
1020,19,1,1,0,-0.009093234
1020,19,1,0,0,-0.069967001
1020,19,1,1,0,0.078848436
1020,19,1,0,1,-0.338113172
1020,19,1,1,0,-0.072595815
1020,19,1,0,0,0.142284219
1020,19,0,0,0,0.030059418
1020,19,1,0,0,-0.082560382
1020,19,1,1,0,-0.084833356
1020,19,1,0,0,0.072667792
1020,19,1,0,1,0.039858847
1020,19,1,1,0,0.020094105
1020,19,1,0,0,0.245043525
1020,19,1,0,1,-0.039256853
1020,19,1,0,1,-0.296478189
1020,19,0,1,0,-0.28705225
1020,19,1,0,0,0.145020547
1020,19,1,0,0,0.1547021
1020,19,1,0,0,0.158009783
1020,19,1,0,1,0.207690841
1020,19,1,0,0,-0.09379267
1020,19,1,0,0,-0.002316758
1020,19,1,0,0,0.06077046
1020,19,0,0,0,0.12918412
1020,19,0,1,0,-0.32612424
1020,19,0,0,0,0.060888521
1020,19,0,1,0,0.115989336
1020,19,0,0,1,-0.031803075
1020,19,0,0,1,0.127108745
1020,19,1,0,0,0.133796426
1020,19,1,1,0,-0.16081103
1020,19,0,0,0,0.201327808
1020,19,0,0,1,-0.090867333
1020,19,0,0,0,0.055361736
1020,19,0,0,0,-0.287826345
1020,19,0,0,1,0.240568591
1020,19,0,0,1,-0.077689292
1020,19,0,0,1,-0.018423419
1020,19,0,1,0,-0.399965498
1020,19,0,0,0,-0.078229774
1020,19,1,0,0,-0.267753397
1020,19,1,0,0,0.118614462
1020,19,1,1,0,-0.123984187
1020,19,1,0,0,-0.022196955
1020,19,1,0,0,0.156253505
1020,19,1,0,0,0.17952697
1020,19,1,0,0,-0.160940985
1020,19,1,0,0,-0.046734568
1020,19,1,1,0,-0.057161269
1020,19,1,0,0,0.082266544
1020,19,0,0,0,-0.10895485
1020,19,0,1,0,-0.031149443
1020,19,0,0,0,-0.096555216
1020,19,0,1,0,-0.152706558
1020,19,1,0,1,0.298181373
1020,19,1,0,0,-0.050860544
1020,19,0,0,0,0.04261024
1020,19,0,1,0,-0.186330738
1020,19,0,0,0,-0.023515203
1020,19,1,0,0,-0.063952855
1020,19,0,0,0,-0.164248442
1020,19,1,0,0,0.088766101
1020,19,1,1,0,0.11956561
1020,19,1,0,0,0.155697174
1020,19,1,0,0,-0.065780232
1023,19,0,0,0,0.043742123
1023,19,0,0,0,-0.134699625
1023,19,0,0,0,-0.124920296
1023,19,0,1,0,-0.007349654
1023,19,0,0,0,0.014751987
1023,19,0,0,0,0.023044082
1023,19,0,0,0,0.063050526
1023,19,1,1,0,0.074851017
1023,19,1,0,0,-0.098074483
1023,19,1,0,0,-0.136074435
1023,19,1,0,0,0.041905834
1023,19,0,0,1,-0.079235447
1023,19,0,0,0,-0.023122132
1023,19,0,0,0,-0.101712251
1023,19,0,0,0,-0.068145591
1023,19,0,0,0,-0.183769665
1023,19,0,0,1,-0.102091195
1023,19,0,1,0,-0.085446468
1023,19,0,0,0,0.074635751
1023,19,0,1,0,0.052789936
1023,19,0,1,0,-0.011142532
1023,19,0,0,1,-0.182423469
1023,19,0,1,0,-0.020802891
1023,19,0,0,1,0.152105954
1023,19,0,0,0,-0.007029596
1023,19,0,0,1,0.137492296
1023,19,0,0,0,-0.012259092
1023,19,0,0,0,0.161473947
1023,19,0,0,0,0.030667326
1023,19,1,1,0,-0.216160072
1023,19,1,1,0,-0.029888318
1023,19,1,0,0,0.226089548
1023,19,1,1,0,-0.032023522
1023,19,1,0,0,-0.098409409
1023,19,1,1,0,0.000603451
