scene,duration,nTR,importance,event,description,Jack,Jack's wife,Doctor,Kate,Toby,Randall,Randall's wife,Randall's two daughters,William,Kevin,Two women with Kevin,Director/Writer,Alan Thicke,Jack's house (indoor),Kate's house (indoor),Kate's house (outdoor),William's house (outside),William's house (inside),Randall's house (indoor),Kevin's house (indoor),hospital,support group,coffee,restaurant,office,soccer field,backstage,television set
1,1:11:09,60,-0.84310253,Jack,"Opening, Birthday towel",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0:33:23,29,0.29600616,Kate,"Birthday cake in the fridge, Scale",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0:26:02,22,-0.0148884,Randall,"Work, Good news email, Happy birthday song",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0:30:14,26,-0.192215512,Kevin,"Bedroom with two girls, I am 36",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,0:29:22,26,-0.2880279,Jack,"Big three, Terrible things to mommy",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0:08:13,8,-0.176839652,Randall,Click good news email,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,0:18:07,16,-0.821356769,Kate,"Scale naked, Falls back",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0:15:14,14,-0.313906366,Jack,"Kiss, My water just broke",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1:06:14,56,0.380057419,Kevin,The Challenger story,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,0:49:12,42,0.201560119,Kevin & Kate,"Bathroom floor, How did we get here? I'm 36.",0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1:12:10,61,0.267993736,Kevin & Kate,"Bathroom floor, I ate my dream life away",0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0:39:06,33,0.158688856,Jack,"Hospital room, Same birthdays, Six weeks early",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,0:54:09,46,0.674267774,Jack,"I'm Dr. Katowski, Deep breath, Appendix burst, High risk pregnancy",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14,1:06:07,56,-0.361067233,Jack,"73 years old doctor, Best of the best, Bad joke",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,0:37:19,32,-0.509819149,Kevin,"Man-ny set, Breastfeed",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,0:54:10,46,-0.095085042,Kevin,Ryan Gosling would never do this crap,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
