subject,parcel,retrieval,reinstatement.m10TR,reinstatement.m9TR,reinstatement.m8TR,reinstatement.m7TR,reinstatement.m6TR,reinstatement.m5TR,reinstatement.m4TR,reinstatement.m3TR,reinstatement.m2TR,reinstatement.m1TR,reinstatement.0TR,reinstatement.1TR,reinstatement.2TR,reinstatement.3TR,shift.m10TR,shift.m9TR,shift.m8TR,shift.m7TR,shift.m6TR,shift.m5TR,shift.m4TR,shift.m3TR,shift.m2TR,shift.m1TR,shift.0TR,shift.1TR,shift.2TR,shift.3TR
1001,19,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1001,19,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0,0,0,0,1,0,0,0,0,1,0,0,0
1001,19,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1,0,0,0,1,0,0,0,1,0,0,1,0
1001,19,1,-0.00265424,-0.001766669,-0.102306223,0.20879113,0.281031831,-0.162156865,0.046679982,-0.069737648,-0.108639286,0.045027381,0.076550598,0.059241225,0.002536701,-0.067481311,0,0,1,0,0,1,0,0,1,0,0,0,0,1
1001,19,0,-0.090539474,-0.136328105,-0.036964736,-0.090747355,0.045589889,-0.100707242,0.041532832,0.014637488,-0.06062094,-0.021119458,-0.085436862,-0.019299837,-0.150479178,-0.053318914,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1001,19,1,0.171453193,0.11182527,-0.011470583,-0.217239849,-0.066358325,0.049691955,0.078478968,0.126576165,-0.039668029,-0.093567715,-0.156043813,0.015105701,-0.067748512,-0.116882102,1,0,0,0,1,0,0,0,1,0,0,nan,nan,nan
1001,19,1,0.159605805,0.188148171,-0.098241231,0.058803958,0.116912219,0.036373234,-0.223706044,-0.085141312,0.087742056,0.130079136,0.073651828,-0.267370243,0.014530821,nan,0,0,0,0,0,0,1,0,0,0,0,0,0,nan
1001,19,1,-0.081803374,-0.456182566,-0.253447533,-0.373334126,-0.117245059,0.045721769,0.437348916,0.11097059,-0.176462619,0.076279763,0.015166299,0.050511427,0.444517465,0.403822309,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1001,19,1,-0.030902335,-0.15770397,-0.109074864,-0.083985937,-0.204698056,-0.131053973,-0.165997081,-0.387719331,-0.135154547,-0.079956642,0.056594373,0.14208499,0.090582797,0.120561889,nan,nan,nan,nan,nan,0,0,0,1,0,0,0,1,0
1001,19,1,-0.092054454,-0.010048786,0.058315774,0.033996161,0.126374188,0.222036207,0.126325499,-0.016184743,0.123689956,-0.099273853,-0.166222963,-0.334826122,-0.054206087,0.299750842,nan,nan,nan,nan,0,0,0,1,0,0,0,1,0,0
1001,19,1,-0.00050698,-0.172640887,0.015230136,-0.061083473,-0.308238582,0.140649229,-0.000457807,0.082673138,0.045784378,0.138405479,0.024284724,0.073873608,-0.076533729,-0.126769642,0,0,0,1,0,0,1,0,0,0,1,0,0,0
1001,19,0,0.094221894,0.024410688,0.222535886,0.023975363,0.1563557,-0.004650701,-0.296982796,-0.110985375,-0.035164613,0.076708576,0.052855803,0.004790921,0.273997241,0.342698105,0,0,1,0,0,0,1,0,0,0,1,0,0,1
1001,19,1,-0.157057749,-0.040549823,-0.102526014,-0.088824724,-0.102859738,-0.243813037,-0.248048956,-0.075388271,-0.329199948,-0.210790241,0.073094171,0.279247296,0.091063386,0.195939026,0,0,0,0,1,0,0,0,0,0,1,0,0,0
